heldout_perturbation_ids	space	label_col	recall_at_1	recall_at_5	map	median_rank
1,3,6	endpoint	perturbation_label	0.2962962962962963	0.8888888888888888	0.403559468917841	3.0
1,3,6	endpoint	cell_line_label	0.9629629629629629	1.0	0.7216754647689804	1.0
1,3,6	delta	condition_key	0.3333333333333333	0.8518518518518519	0.31155528575086816	2.0
1,3,6	delta	perturbation_label	0.4444444444444444	0.8888888888888888	0.4376377294505285	2.0
1,3,6	delta	cell_line_label	0.6666666666666666	0.9629629629629629	0.5114547923672242	1.0
1,3,7	endpoint	condition_key	0.37037037037037035	0.8148148148148148	0.3922335603937484	2.0
1,3,7	endpoint	perturbation_label	0.37037037037037035	0.8518518518518519	0.4235294616258357	2.0
1,3,7	endpoint	cell_line_label	0.9259259259259259	1.0	0.6813727236583816	1.0
1,3,7	delta	condition_key	0.48148148148148145	0.9259259259259259	0.37534531354735456	2.0
1,3,7	delta	perturbation_label	0.6296296296296297	0.9629629629629629	0.4864151944254154	1.0
1,3,7	delta	cell_line_label	0.6296296296296297	1.0	0.5218102296827687	1.0
1,3,8	endpoint	condition_key	0.2222222222222222	0.7777777777777778	0.34669042600736716	3.0
1,3,8	endpoint	perturbation_label	0.2222222222222222	0.8518518518518519	0.40107328388795005	2.0
1,3,8	endpoint	cell_line_label	0.8888888888888888	1.0	0.6482242826345476	1.0
1,3,8	delta	condition_key	0.4074074074074074	0.6296296296296297	0.33581056922118974	3.0
1,3,8	delta	perturbation_label	0.48148148148148145	0.7037037037037037	0.44825929020809696	2.0
1,3,8	delta	cell_line_label	0.6296296296296297	0.9629629629629629	0.4968093922308096	1.0
1,4,5	endpoint	condition_key	0.14814814814814814	0.9259259259259259	0.3417040526964723	3.0
1,4,5	endpoint	perturbation_label	0.14814814814814814	0.9629629629629629	0.38733999316985745	2.0
1,4,5	endpoint	cell_line_label	0.9629629629629629	1.0	0.7322171541717772	1.0
1,4,5	delta	condition_key	0.25925925925925924	0.7037037037037037	0.29884754316219087	3.0
1,4,5	delta	perturbation_label	0.3333333333333333	0.8518518518518519	0.4070061255848311	2.0
1,4,5	delta	cell_line_label	0.5555555555555556	0.9259259259259259	0.47633497125842766	1.0
1,4,6	endpoint	condition_key	0.2222222222222222	0.8888888888888888	0.3767887011233531	2.0
1,4,6	endpoint	perturbation_label	0.2222222222222222	0.8888888888888888	0.3903699112225134	2.0
1,4,6	endpoint	cell_line_label	0.8888888888888888	1.0	0.7580214894356005	1.0
1,4,6	delta	condition_key	0.18518518518518517	0.6666666666666666	0.2670219944051974	3.0
1,4,6	delta	perturbation_label	0.3333333333333333	0.8888888888888888	0.4152356737498175	2.0
1,4,6	delta	cell_line_label	0.5185185185185185	1.0	0.4781667289584461	1.0
1,4,7	endpoint	condition_key	0.37037037037037035	0.7407407407407407	0.3763471568373528	2.0
1,4,7	endpoint	perturbation_label	0.37037037037037035	0.7777777777777778	0.40967272291371293	2.0
1,4,7	endpoint	cell_line_label	0.9259259259259259	1.0	0.6889200918062578	1.0
